[2026-03-28T21:41:17.973Z] GET http://localhost:5174/src/components/sessions/StageGroup.tsx → 200 (11ms, 6555B)
[2026-03-28T21:41:17.974Z] GET http://localhost:5174/src/hooks/useTraceData.ts → 200 (10ms, 2345B)
[2026-03-28T21:41:17.974Z] GET http://localhost:5174/src/components/trace/TraceTree.tsx → 200 (9ms, 7438B)
[2026-03-28T21:41:17.974Z] GET http://localhost:5174/node_modules/.vite/deps/d3-scale.js?v=0fdc4529 → 200 (?ms, 93164B)
[2026-03-28T21:41:17.974Z] GET http://localhost:5174/src/lib/tree.ts → 200 (10ms, 14465B)
[2026-03-28T21:41:17.974Z] GET http://localhost:5174/src/hooks/useReviewActions.ts → 200 (10ms, 5402B)
[2026-03-28T21:41:17.975Z] GET http://localhost:5174/src/components/review/CommitDialog.tsx → 200 (9ms, 15565B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/src/lib/api.ts → 200 (?ms, 8125B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/src/components/detail/StepDetail.tsx → 200 (1ms, 17132B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/src/components/detail/ToolCallDetail.tsx → 200 (1ms, 13336B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/node_modules/.vite/deps/@tanstack_react-virtual.js?v=0fdc4529 → 200 (?ms, 30536B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/src/components/trace/StepNode.tsx → 200 (1ms, 9957B)
[2026-03-28T21:41:17.987Z] GET http://localhost:5174/src/components/sessions/SessionRow.tsx → 200 (1ms, 9343B)
[2026-03-28T21:41:17.988Z] GET http://localhost:5174/src/components/detail/ReasoningBlock.tsx → 200 (?ms, 4966B)
[2026-03-28T21:41:17.988Z] GET http://localhost:5174/src/components/detail/SecurityBadge.tsx → 200 (?ms, 5831B)
[2026-03-28T21:41:17.989Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:17.989Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwGtT0rU.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:17.989Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:18.001Z] GET http://localhost:5174/api/sessions → 200 (1ms, 1844B)
[2026-03-28T21:41:23.004Z] GET http://localhost:5174/api/sessions → 200 (4ms, 1844B)
[2026-03-28T21:41:28.011Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:41:33.016Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:41:38.020Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:41:39.814Z] GET http://localhost:5174/api/session/a99a85a8-82ce-487c-a3cf-19345a5b725e/detail → 200 (2ms, 165936B)
[2026-03-28T21:41:43.025Z] GET http://localhost:5174/api/sessions → 200 (1ms, 1844B)
[2026-03-28T21:41:48.028Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:41:53.032Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:41:58.036Z] GET http://localhost:5174/api/sessions → 200 (3ms, 1844B)
[2026-03-28T21:42:03.041Z] GET http://localhost:5174/api/sessions → 200 (2ms, 1844B)
[2026-03-28T21:42:04.155Z] GET blob:http://localhost:5174/b0ff6a3d-a491-4bc3-a6b3-86afc6c0d1cd → pending (?ms, ?B)
[2026-03-28T21:42:08.044Z] GET http://localhost:5174/api/sessions → pending (?ms, ?B)
[2026-03-28T21:42:09.047Z] GET http://localhost:5174/api/sessions → pending (?ms, ?B)
[2026-03-28T21:42:14.048Z] GET http://localhost:5174/api/sessions → pending (?ms, ?B)
[2026-03-28T21:42:15.050Z] GET http://localhost:5174/api/sessions → pending (?ms, ?B)
[2026-03-28T21:42:20.053Z] GET http://localhost:5174/api/sessions → pending (?ms, ?B)
